Name,Meaning,Reference,Gender,Origin,Lucky #,Religion,Short Name,Name Length,Personalities
Ayesha,"Alive, Well-Living, Happily Living",Wife Of Prophet Muhammad (P.B.U.H),Girl,Arabic,7,Muslim,YES,6 Letters and 1 Word,"Hazrat Ayesha (R.A), Ayesha Omar, Ayesha Takia"
Anabia,"The gate of heaven, the gate of paradise",,Girl,Urdu,6,Muslim,YES,6 Letters and 1 Word,
Ayat,"Holy Quran's Verses, Signs, proof",,Girl,Arabic,4,Muslim,YES,4 Letters and 1 Word,
Ayra,"Vision-filling, eye-weakening, Respectable",,Girl,Urdu,4,Muslim,YES,4 Letters and 1 Word,
Abeeha,"her father, nickname of Hazrat Fatima
","Name given to Fatima az-Zahra by prophet Muhammad as ""Umm Abeeha""",Girl,Arabic,5,Muslim,YES,6 Letters and 1 Word,
Aiza,"Nobel, Respectful
",,Girl,Urdu,2,Muslim,YES,4 Letters and 1 Word,"Aiza Khan, Aiza Awan"
Aaira,"noble woman, honourable and respectful lady",,Girl,Urdu,7,Muslim,YES,5 Letters and 1 Word,
Amyra,"Princess, commander, Highborn Girl",,Girl,Arabic,9,Muslim,YES,5 Letters and 1 Word,
Afreen,"Beautiful, Brave, Acclaim ,Stimulation, Praise, Lucky , Encouragement",,Girl,Persian,7,Muslim,YES,6 Letters and 1 Word,
Aqsa,"Farthest, The mosque name Height, limit","Name of the Third Holiest Site in Islam, Masjid al-Aqsa",Girl,Arabic,3,Muslim,YES,4 Letters and 1 Word,
Aiman,"Righteous, blessed, lucky",Female companions of Prophet Muhammad (P.B.U. H),Girl,Urdu,2,Muslim,YES,5 Letters and 1 Word,"Umm e Aiman, Aiman Muneeb"
Alisha,"Protected by God, Noble kind; of the noble sort, Secure",,Girl,Arabic,6,Muslim,YES,6 Letters and 1 Word,
Arya,In Hindu meaning is : Honoured; noble,,Girl,Arabic,7,Muslim,YES,4 Letters and 1 Word,
Arisha,"Throne, To Build, Highness",,Girl,Urdu,7,Muslim,YES,6 Letters and 1 Word,
Anam,"Present, Precious Gift from Allah",,Girl,Urdu,8,Muslim,YES,4 Letters and 1 Word,"Anam Gohar, anam Tanveer"
Anita,"Grace, Raise, Promote, Favor",,Girl,Hebrew,3,Muslim,YES,5 Letters and 1 Word,
Aliza,Joyous; Happiness; Faithful; Pious; Honest,,Girl,Arabic,5,Muslim,YES,5 Letters and 1 Word,
Anaya,"Caring, Guardian, Protector, Concern",,Girl,Arabic,1,Muslim,YES,5 Letters and 1 Word,
Alina,"Bright, Fair, Good-Looking, soft, pliable, delicate",,Girl,Urdu,1,Muslim,YES,5 Letters and 1 Word,
Arfa,"High-Status, Best, Sublime, The Mighty",,Girl,Arabic,5,Muslim,YES,4 Letters and 1 Word,
Areeba,"Witty and Smart, wise, intelligent",,Girl,Urdu,5,Muslim,YES,6 Letters and 1 Word,
Ayaat,"Verses, Messages, Signs",,Girl,Urdu,5,Muslim,YES,5 Letters and 1 Word,Ayaat Arif
Areesha,"Throne Living, Under an umbrella, built structure",,Girl,Urdu,9,Muslim,NO,7 Letters and 1 Word,Areesha Razi
Arshiya,"Fairy, Abode Of Allah, Lives In Skies",,Girl,Urdu,3,Muslim,NO,7 Letters and 1 Word,
Asma,"Excellent, lofty, eminent, precious,Higher, more exalted, more sublime, more eminent ",Daughter of Abu Bakr (R.A),Girl,Arabic,3,Muslim,YES,4 Letters and 1 Word,"Asma Bint Abu Bakr, Asma Abbas, Asma jahangir"
Afnan,"Growth, Progress, Full Spreading Branches Of Trees, Growth, Fruitfulness",,Girl,Urdu,2,Muslim,YES,5 Letters and 1 Word,
Ana,"Prestige, Self Respect,",,Girl,Urdu,7,Muslim,YES,3 Letters and 1 Word,
Aaima,"Leader, Ruler, Superior",,Girl,Urdu,4,Muslim,YES,5 Letters and 1 Word,
