Name,Meaning,Gender,Origin,Lucky #,Religion,Short Name,Name Length
Arham,"Mercy, Compassion, Kindness
",Boy,Arabic,7,Muslim,YES,5 Letters and 1 Word
Ayan,"Gif Of God, Reward, Blessing",Boy,Urdu,7,Muslim,YES,4 Letters and 1 Word
Ayaan,"Gift Of God, Reward, Generosity",Boy,Urdu,7,Muslim,YES,5 Letters and 1 Word
Azlan,"Lion, Brave, Courageous man",Boy,Urdu,8,Muslim,YES,5 Letters and 1 Word
Aryan,"Warrior, invasionary mind people, related to prehistoric Arya people",Boy,Arabic,9,Muslim,YES,5 Letters and 1 Word
Ali,"Eminent, Noble, High In Rank
",Boy,Arabic,2,Muslim,YES,3 Letters and 1 Word
Aayan," God’s Gift, Manifest, Blessing",Boy,Urdu,6,Muslim,YES,5 Letters and 1 Word
Asif,"Forgiveness, Strong, Powerful, Fierce",Boy,Arabic,8,Muslim,YES,4 Letters and 1 Word
Anas,"Affection, Love, Pleasant Companionship",Boy,Sindhi,3,Muslim,YES,4 Letters and 1 Word
Asad,"Lion, Virtuous, Fortunate",Boy,Arabic,2,Muslim,YES,4 Letters and 1 Word
Adnan,"Settler, One Who Settle For A Long Time In A Place, Paradise",Boy,Arabic,4,Muslim,YES,5 Letters and 1 Word
Abdullah,"Servant Of Allah, Obedient, Name Of Prophet’s Father",Boy,Arabic,7,Muslim,NO,8 Letters and 1 Word
Ahad,"One, Unique, Matchless, Another Name For God",Boy,Persian,4,Muslim,YES,4 Letters and 1 Word
Arabi,Arabian,Boy,Arabic,3,Muslim,YES,5 Letters and 1 Word
Ahmed,"Praise Worthy, Noble, Commendable, Name Of Prophet Muhammad (PBUH)",Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Aaron,"Exalted One, Enlightened, High Mountain",Boy,Arabic,5,Muslim,YES,5 Letters and 1 Word
Ayaz,"Cool Breeze, Night Breeze, A Servant Of Sultan Mehmood",Boy,Arabic,1,Muslim,YES,4 Letters and 1 Word
Afan,"To Forgive, A Person Who Forgives, Modest",Boy,Arabic,3,Muslim,YES,4 Letters and 1 Word
Abrar,"Virtuous, Pious, Great Man",Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Aman,"Safety, Protection, Peace",Boy,Arabic,2,Muslim,YES,4 Letters and 1 Word
Arish,"Righteous, Nobel, A Brave Solider",Boy,Persian,4,Muslim,YES,5 Letters and 1 Word
Arsalan,"Lion, Brave man, Warrior In Afghan",Boy,Arabic,9,Muslim,NO,7 Letters and 1 Word
Adyan,"Religious, Pious, Creeds, Plural Of Deen",Boy,Arabic,3,Muslim,YES,5 Letters and 1 Word
Ahil,"Emperor, Ruler, Great Leader",Boy,Arabic,8,Muslim,YES,4 Letters and 1 Word
Ahmad,"Praiseworthy, Commendable, Noble, Admirable",Boy,Arabic,8,Muslim,YES,5 Letters and 1 Word
Abaan,"Mountain’s Name, Clear, Name Of A Companion",Boy,Arabic,9,Muslim,YES,5 Letters and 1 Word
